$water-to-light map:
3846882465 367033980 98093832
1878565977 3292746518 62917983
4255729420 661438934 39237876
469590509 2191298319 301681796
381948234 1999013894 87642275
3688496086 199351627 156562666
1300818753 2086656169 104642150
806539912 2798447654 224466318
1265336919 355914293 11119687
1405460903 1914042148 28882526
2577391070 1942924674 56089220
3680239306 4136990116 8256780
1941483960 700676810 607954854
3845058752 3022913972 1823713
4239658038 1308631664 16071382
2566162195 4254580741 11228875
1671792383 3831845903 10462472
3944976297 3842308375 294681741
3290662499 3160062910 132683608
2549438814 1324703046 16723381
3423346107 1341426427 27108304
1031006230 3355664501 234330689
1276456606 4145246896 24362147
3450454411 54538430 144813197
1682254855 465127812 196311122
54538430 1403802338 272790856
2633480290 2492980115 305467539
3595267608 4169609043 84971698
3242064105 3644614138 48598394
3077581200 4265809616 29157680
771272305 1368534731 35267607
1434343429 1676593194 237448954
327329286 3589995190 54618948
3106738880 3024737685 135325225
2938947829 3693212532 138633371
